HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
19747, ,26967,CD-42  1425 ,5121.0,1326.0,63.50033333333332,-42.29386111111111,3.85,,alf,Hor,HD  26967,04 14 00.08,-42 17 37.9,3.85,63.5003388,-42.29387294,27.85,41.89,-203.65,0.51,1.085, ,63.50047645,-42.29436792,35.90664272890485,-10.781251223028699,-21.62415966727306,26.56025852305355
19777,M,26846,BD-10   867 ,5114.0,1318.0,63.59870833333333,-10.255888888888888,4.87,39.0,A,Eri,HD  26846,04 14 23.69,-10 15 21.2,4.87,63.59872149,-10.2558889,15.8,-7.61,-162.11,0.95,1.156, ,63.59870269,-10.25628292,63.291139240506325,-5.010666170527248,-10.093350204950905,62.279898944434
19780, ,27256,CP-62   332 ,5164.0,1336.0,63.60595833333333,-62.473972222222216,3.33,,alf,Ret,HD  27256,04 14 25.43,-62 28 26.3,3.33,63.60596306,-62.47397888,19.98,41.64,49.72,0.45,0.915, ,63.60618205,-62.47385803,50.05005005005005,-19.730746179369305,-39.75771119438122,23.130706124154365
19811,M,26673,BD+40   912A,5103.0,1306.0,63.72212499999999,40.48372222222222,4.67,52.0,f,Per,HD  26673,04 14 53.31,+40 29 01.4,4.67,63.72212566,40.48372394,5.2,9.72,-21.58,1.05,1.007, ,63.72215672,40.48367149,192.30769230769232,55.27523407580675,111.9497510573183,146.2673930060261
19812, ,26630,BD+48  1063 ,5099.0,1303.0,63.724416666666656,48.4093611111111,4.12,51.0,mu.,Per,HD  26630,04 14 53.86,+48 24 33.7,4.12,63.72440722,48.40937312,4.51,5.04,-17.35,0.76,0.935, ,63.72442567,48.40933095,221.72949002217294,73.41243641232938,148.69827769777203,147.1849283561835
19849,M,26965,BD-07   780 ,5138.0,1325.0,63.82349999999999,-7.644555555555555,4.43,40.0,omi02,Eri,HD  26965,04 15 17.64,-07 38 40.4,4.43,63.8234923,-7.64455846,198.24,-2239.33,-3419.86,0.84,0.82, ,63.81800057,-7.65287058,5.044390637610976,-0.29602153542133824,-0.6022185835480494,4.999558073771466
19860, ,26912,BD+08   657 ,5134.0,1320.0,63.88354166666666,8.892416666666666,4.27,49.0,mu.,Tau,HD  26912,04 15 32.05,+08 53 32.7,4.27,63.88352173,8.89240989,7.5,20.39,-21.75,1.13,-0.054, ,63.88357189,8.89235703,133.33333333333334,9.072733896604484,18.50629664645732,131.73071115670982
19877, ,26911,BD+15   603 ,5137.0,1319.0,63.942541666666656,15.40075,6.31,48.0, ,Tau,HD  26911,04 15 46.21,+15 24 02.7,6.31,63.9425602,15.40074874,22.51,114.38,-22.07,0.82,0.4, ,63.94284856,15.4006951,44.424700133274094,5.182451452534984,10.598610934359877,42.82949480364564
19893, ,27290,CD-51  1066 ,5179.0,1338.0,64.00620833333332,-51.48708333333333,4.26,,gam,Dor,HD  27290,04 16 01.49,-51 29 13.5,4.26,64.00621426,-51.48709578,49.26,100.57,184.23,0.5,0.312,P,64.00660681,-51.486648,20.300446609825418,-6.961735684556407,-14.277599709227754,12.640906429517063
19921, ,27442,CP-59   324 ,5194.0,1355.0,64.12116666666665,-59.30174999999999,4.44,,eps,Ret,HD  27442,04 16 29.08,-59 18 06.3,4.44,64.12118133,-59.30174841,54.84,-47.99,-167.81,0.5,1.078, ,64.12095285,-59.30215628,18.23486506199854,-6.843655044069299,-14.107212400638957,9.309202315469264
19990,X,27045,BD+20   724 ,5172.0,1329.0,64.31537499999999,20.57875,4.93,50.0,ome,Tau,HD  27045,04 17 15.69,+20 34 43.5,4.93,64.31535896,20.57874033,34.87,-40.88,-61.45,0.8,0.259, ,64.31525283,20.57859097,28.677946659019216,4.368906441431859,9.084154561272912,26.848005828933946
20020, ,27657,CP-63   316 ,5233.0,1372.0,64.41779166666666,-63.25549999999999,5.88,,the,Ret,HD  27657,04 17 40.27,-63 15 19.8,5.88,64.41777199,-63.25549171,7.05,5.48,35.53,0.58,-0.061, ,64.41780159,-63.25540535,141.84397163120568,-54.696743556979385,-114.25194298525001,63.83159136721798
20042,M,27376,CD-34  1614 ,5201.0,1347.0,64.47341666666665,-33.79833333333333,3.55,41.0,ups04,Eri,HD  27376,04 17 53.62,-33 47 54.0,3.55,64.47341068,-33.79833145,18.27,62.31,-6.75,0.55,-0.108, ,64.47359293,-33.79834786,54.734537493158186,-13.12063233408634,-27.475164379534718,45.48443628386762
20049, ,28525,CP-80   116 ,5332.0,1426.0,64.49658333333332,-80.21419444444443,5.67,,del,Men,HD  28525,04 17 59.18,-80 12 51.1,5.67,64.49656949,-80.21418106,8.0,28.26,61.02,0.5,0.836, ,64.49697361,-80.21403275,125.0,-53.037526871468664,-111.17842506868412,21.245671149794923
20070,X,26961,BD+49  1150 ,5174.0,1324.0,64.56074999999998,50.29563888888888,4.6,,b,Per,HD  26961,04 18 14.58,+50 17 44.3,4.6,64.56073112,50.29563944,10.25,46.59,-56.43,0.87,0.043,P,64.56090838,50.29550228,97.5609756097561,32.24172282715335,67.7810362924889,62.32452478904868
20087, ,27176,BD+21   618 ,5189.0,1331.0,64.59641666666666,21.57938888888889,5.64,51.0, ,Tau,HD  27176,04 18 23.14,+21 34 45.8,5.64,64.59642362,21.57937928,18.25,96.42,-33.92,0.82,0.277, ,64.59667564,21.57929684,54.79452054794521,8.645416771194029,18.204267037827393,50.95390968853144
20171, ,27295,BD+20   733 ,5210.0,1339.0,64.85866666666666,21.142416666666666,5.5,53.0, ,Tau,HD  27295,04 19 26.08,+21 08 32.7,5.5,64.85866225,21.14241058,12.2,29.49,-42.73,0.76,-0.069, ,64.8587391,21.14230672,81.9672131147541,12.560571339273908,26.76367047010248,76.44973522778409
20186, ,27309,BD+21   623 ,5216.0,1341.0,64.902875,21.77358333333333,5.34,56.0, ,Tau,HD  27309,04 19 36.69,+21 46 24.9,5.34,64.90286245,21.77359174,10.32,29.77,-41.39,0.76,-0.107,P,64.90294037,21.77349114,96.89922480620154,15.245693353917648,32.55032202898732,89.98613858817545
20205,M,27371,BD+15   612 ,5226.0,1346.0,64.94804166666665,15.627694444444442,3.65,54.0,gam,Tau,HD  27371,04 19 47.53,+15 37 39.7,3.65,64.94805793,15.62770031,21.17,115.29,-23.86,1.17,0.981, ,64.94834891,15.62764232,47.23665564478035,5.388215436713159,11.527760596046384,45.4904331321583
20215, ,27383,BD+16   579 ,5230.0,,64.97824999999999,16.522666666666666,6.85,55.0, ,Tau,HD  27383,04 19 54.78,+16 31 21.6,6.85,64.97826903,16.52267742,23.27,121.27,-36.65,1.14,0.509, ,64.97857648,16.52258834,42.97378599054577,5.1692395057759954,11.074492142763765,41.19928238541318
20219, ,27397,BD+13   663 ,5234.0,1351.0,64.99012499999999,14.035249999999998,5.58,57.0,h,Tau,HD  27397,04 19 57.63,+14 02 06.9,5.58,64.99014508,14.03524954,22.31,115.42,-19.91,0.92,0.283, ,64.99043425,14.03520115,44.82294935006723,4.595730876486985,9.85114352319756,43.48483663801624
20234, ,27192,BD+50   973 ,5207.0,1333.0,65.04795833333333,50.92094444444444,5.55,,b02,Per,HD  27192,04 20 11.51,+50 55 15.4,5.55,65.0479676,50.92095135,2.74,0.57,-7.56,0.75,-0.031,P,65.0479698,50.92093298,364.963503649635,119.51817119620519,256.8686697661478,230.07010288757957
