HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
39211, ,65953,BD-00  1882 ,10870.0,3141.0,120.30541666666664,-1.3924166666666664,4.69,28.0, ,Mon,HD  65953,08 01 13.30,-01 23 32.7,4.69,120.30540155,-1.39242418,6.9,65.97,-75.73,0.94,1.475, ,120.30556194,-1.39260825,144.92753623188403,-73.11018002107204,125.08592977851812,3.52171932074806
39236, ,65873,BD+16  1612 ,10868.0,3134.0,120.37620833333332,16.455333333333332,5.99,5.0, ,Cnc,HD  65873,08 01 30.29,+16 27 19.2,5.99,120.37619077,16.45532309,6.91,4.25,-5.94,0.87,-0.024, ,120.37620154,16.45530865,144.7178002894356,-70.1828552178555,119.73766959028521,-40.99389021757005
39261, ,65339,BD+60  1105 ,10822.0,3109.0,120.42704166666664,60.32441666666666,6.02,53.0, ,Cam,HD  65339,08 01 42.49,+60 19 27.9,6.02,120.42705665,60.32440752,10.16,-33.56,-22.24,0.77,0.158,P,120.42689189,60.32435346,98.42519685039369,-24.678443485990318,42.017939964734886,-85.51600156267519
39263,X,65856,BD+25  1816 ,10871.0,3132.0,120.43237499999998,25.08944444444444,6.32,4.0, ,Cnc,HD  65856,08 01 43.77,+25 05 22.0,6.32,120.43238778,25.08943685,5.45,-23.32,11.69,0.93,0.023, ,120.43232519,25.08946526,183.4862385321101,-84.17050146104275,143.27959252023453,-77.80414373087439
39311, ,66141,BD+02  1854 ,10891.0,3145.0,120.56645833333332,2.3343055555555554,4.39,,G,CMi,HD  66141,08 02 15.95,+02 20 03.5,4.39,120.56647202,2.33431429,12.49,-28.04,105.49,0.98,1.252, ,120.56640381,2.33457069,80.0640512409928,-40.681781310776564,68.88113505944706,-3.2610126379214104
39348, ,65626,BD+57  1118 ,10864.0,3119.0,120.64924999999998,57.27377777777777,6.48,54.0, ,Cam,HD  65626,08 02 35.82,+57 16 25.6,6.48,120.64926248,57.27377091,9.84,-38.28,-59.08,0.73,0.649,P,120.64909038,57.27362731,101.6260162601626,-28.008191811172328,47.26649078516144,-85.49425256258846
39424,X,66216,BD+28  1532 ,10912.0,3149.0,120.87958333333331,27.794416666666663,4.94,,chi,Gem,HD  66216,08 03 31.10,+27 47 39.9,4.94,120.87957982,27.79441794,12.66,-28.53,-35.25,0.78,1.13,D,120.87950143,27.79433226,78.98894154818326,-35.862689233107446,59.970672861294254,-36.83257803135011
39429,M,66811,CD-39  3939 ,10947.0,3165.0,120.89612499999998,-40.00319444444444,2.21,,zet,Pup,HD  66811,08 03 35.07,-40 00 11.5,2.21,120.89612561,-40.00318846,2.33,-30.82,16.77,0.51,-0.269, ,120.89602782,-40.0031477,429.18454935622316,-168.81225906313992,282.10802744349996,275.89284051609815
39524, ,66834,BD-19  2228 ,10964.0,3168.0,121.17258333333332,-19.728166666666663,6.12,14.0, ,Pup,HD  66834,08 04 41.42,-19 43 41.4,6.12,121.17258828,-19.72815612,2.07,-5.35,3.36,0.75,-0.154, ,121.17257447,-19.72814795,483.0917874396136,-235.37967787237454,389.0780921962615,163.07151961398864
39567, ,66664,BD+13  1831 ,10959.0,3163.0,121.26879166666664,13.11836111111111,5.14,8.0, ,Cnc,HD  66664,08 05 04.51,+13 07 06.1,5.14,121.2687908,13.11837053,15.49,-35.2,-63.86,0.94,0.018, ,121.26870295,13.11821531,64.55777921239509,-32.63447555626915,53.74020197360452,-14.652254223832463
39659,X,66875,BD+23  1887 ,10988.0,3169.0,121.57666666666664,22.6355,5.96,9.0, ,Cnc,HD  66875,08 06 18.40,+22 38 07.8,5.96,121.57666469,22.63551163,5.21,-7.43,-9.03,0.78,1.652, ,121.57664512,22.63548968,191.93857965451056,-92.76470296946574,150.92455719837307,-73.87087570384361
39722, ,66824,BD+43  1770 ,10995.0,3167.0,121.79145833333332,43.26044444444444,6.35,28.0, ,Lyn,HD  66824,08 07 09.95,+43 15 37.6,6.35,121.79147297,43.26044834,6.9,-12.56,-34.36,0.8,-0.02, ,121.79143105,43.26036483,144.92753623188403,-55.603073193046214,89.70843546398862,-99.32112371664041
39757,X,67523,CD-23  6828 ,11034.0,3185.0,121.88625,-24.30444444444444,2.83,15.0,rho,Pup,HD  67523,08 07 32.70,-24 18 16.0,2.83,121.88625899,-24.30443677,51.99,-83.29,46.38,0.66,0.458,P,121.88603686,-24.30432404,19.234468166955182,-9.25981659041302,14.884478353329124,7.916619640149502
39780,X,67228,BD+22  1862 ,11021.0,3176.0,121.941,21.58197222222222,5.3,10.0,mu.,Cnc,HD  67228,08 07 45.84,+21 34 55.1,5.3,121.9410051,21.58197937,42.86,23.08,-67.23,0.97,0.642, ,121.94106543,21.58181596,23.33177788147457,-11.478196824667465,18.41111465745856,-8.582174190412022
39794, ,68520,CP-68   736 ,11098.0,3223.0,121.98266666666665,-68.61713888888887,4.35,,eps,Vol,HD  68520,08 07 55.84,-68 37 01.7,4.35,121.98266997,-68.61713647,5.08,-29.88,30.58,0.56,-0.113, ,121.98247078,-68.61706214,196.85039370078738,-38.01458545551611,60.87702698140438,183.30018106566513
